name,brand,price,sku,image_url,description,category,sub_category
Star Wars The Mandalorian Grogu Cute Stars Womens T-Shirt,Fifth Sun,19.99,291820,https://media.gamestop.com/i/gamestop/11145324/Star-Wars-The-Mandalorian-Grogu-Cute-Stars-Womens-T-Shirt?$pdp2x$,"Take the reins as a Mandalorian Bounty Hunter exploring the galaxy in this awesome Star Wars tee that celebrates the Star Wars-inspired television series, The Mandalorian with favorites like Grogu, Mando, Greef Karga and more.",Women's,T-Shirts
Funko POP! Marvel: Eternals Gilgamesh Figure,Funko,11.99,213039,https://media.gamestop.com/i/gamestop/11100476/Funko-POP-Marvel-Eternals-Gilgamesh-Figure?$pdp2x$,"The Eternals live hidden among humans, but emerge from hiding to aid mankind. Collect Pop! Gilgamesh to join your Eternals collection and aid the others in your set. There's a 1 in 6 chance you may find the glow in the dark chase! Vinyl bobblehead is approximately 4-inches tall. Please note: Chase variants are shipped at random. Receiving a chase with purchase is not guaranteed.",Funko,POP!
Names of Legendary Mobsters 1982 Cadillac Word Art Mens Tank Top,LA Pop Art,20.49,274341,https://media.gamestop.com/i/gamestop/11139829_gray/Names-of-Legendary-Mobsters-1982-Cadillac-Word-Art-Mens-Tank-Top-gray?$pdp2x$,"Created using the names of some of America's Most Notorious Mobsters.Created using the names of some of America's Most Notorious Mobsters.

Hollywood has done a great job making sure the era of the ""Mobster"" will live on forever. Why shouldn't it? The legends and stories of the guys were real. There weren't trying to be like anyone else. They had a strict code of rules that they followed and in doing so they care of their families and those around them. But it was their style and flair that made everyone forget that at their core they were murderers, thieves and villains. But to this day, people still love to route for them. People still try and act like them, dress like them and most of all earn like them. They say Al Capone's empire would be valued at over a billion dollars today. Love them, hate them or respect them they were some of the most interesting men in American history.

For this design we took a list of some of the Notorious of these men and recreated Al Capone's classic 1928 Cadillac.
 
Charlie ""Lucky"" Luciano
Frank Costello
Bugsy Siegel
Meyer Lansky
Salvatore Faranzano
Joe ""the boss"" Masseria
Al Capone
Arnold ""the brain"" Rothstein
John Gotti
Carlo Gambimo
Giuseppe ""Joe Bananas"" Bonanno
Joseph ""Joe"" Colombo
Albert Anastasia
Vito ""Don Vito"" Genovese
Gaetano ""Tommy Gunn"" Lucchese
Paul Castellano
Sam Giancana
Henry Hill
Vincent Mangano
Nicholas ""Little Nick"" Corozzo
Jackie D'Amico
AlfBlue Mineo
Frank ""don cheech"" Scalice
Carmine Galante
Phillip ""Rusty"" Rastelli
Carmine ""Junior"" Persico
Giuseppe ""Joe"" Profaci
Thomas ""Tommy Ryan"" Eboli
Michele ""Big Mike"" Miranda
Frank ""the old man"" Tieri
Tommy Gagliano
Dutch Shultz
Vincent ""The Chin"" Gigante
Sammy ""The Bull"" Gravano
",Men's,T-Shirts
Lite Brite Mini,Beast Kingdom,7.59,218863,https://media.gamestop.com/i/gamestop/11103843/Lite-Brite-Mini?$pdp2x$,"Everyone's favorite Lite-Brite is now in miniature form! Create art with light using Lite-Brite - the fun and nostalgic toy in a new, miniature version! Inspired by the classic 1980's Lite-Brite toy, this Lite-Brite Mini includes 4 design templates, 70 colorful mini pegs and a screen that measures 3. 5"" wide by 3"" high. Create beautiful art using templates or your own imagination with colorful mini pegs, then light up the screen for a fun display of your artwork! Great for travel and on-the-go!",Toys & Games,Learning Toys
Cat Themed Words Cat Word Art Mens Sleeveless T-Shirt,LA Pop Art,21.49,272238,https://media.gamestop.com/i/gamestop/11139168/Cat-Themed-Words-Cat-Word-Art-Mens-Sleeveless-T-Shirt?$pdp2x$,Created out of cat themed wordsCreated out of cat themed words - There is no greater bond than between a human and their Cat. Celebrate your love for your cat and all cats with this great word art design. This cat shape is created out of popular cat themed words.,Men's,T-Shirts
Vigilante 8: 2nd Offense - Sega Dreamcast,Luxoflux,14.99,947046,https://media.gamestop.com/i/gamestop/10122613/Vigilante-8-2nd-Offense---Sega-Dreamcast?$pdp2x$,The Future of Blowing $#!% Up is Here! 18 All-New '70's and Futuristic Vehicles. 8 New Destructible Arenas with Hidden Power-Ups. Earn Points to Upgrade Your Vehicle. Blast Through Insane 1-4 Player Action.,Retro Sega,Dreamcast
Totally Gross Travel Game Tin,AreYouGame,12.49,290573,https://media.gamestop.com/i/gamestop/11145129/Totally-Gross-Travel-Game-Tin?$pdp2x$,Totally Gross helps kids understand the major scientific disciplines by revelaing the secret that sciene is really fun...and gross!,Toys & Games,Board Games
NHL Ottawa Senators Controller Skin for Xbox Series X,Skinit,15.99,258114,https://media.gamestop.com/i/gamestop/11131056/NHL-Ottawa-Senators-Controller-Skin-for-Xbox-Series-X?$pdp2x$,"The NHL Ottawa Senators Xbox Series X Controller Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight Xbox Series X Controller decal protection without the bulk. Every Skinit Ottawa Senators skin is officially licensed by National Hockey League, Enterprises for an authentic brand design. The Ottawa Senators Ottawa Senators Jersey Microsoft Xbox Series X Controller decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your Xbox Series X Controller The Ottawa Senators Ottawa Senators Jersey skin can be easily applied and removed from your Xbox Series X Controller with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your Xbox Series X Controller style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday Xbox Series X Controller uses in mind so that each Ottawa Senators skin offers a premium feel with a thin functional protection. Shop all officially licensed NHL Ottawa Senators Microsoft Xbox Series X Controller skins made by Skinit and make it yours today!",Skins,Xbox Series X|S
Mobile Suit Gundam The 08th MS Team RX-79 (G)Ez-8 High Grade Model Kit,Bandai,18.99,224603,https://media.gamestop.com/i/gamestop/11108274/Mobile-Suit-Gundam-The-08th-MS-Team-RX-79-GEz-8-High-Grade-Model-Kit?$pdp2x$,"New model of the popular machine from the Ova 08th MS Team features enhanced articulation and new refined proportion. Beam rifle, shield, beam saber and machine gun included. Parachute pack may be interchanged with backpack on HGUC RX79[G] Gundam.",Collectibles,Model Kits
Virtua Tennis - Sega Dreamcast,SEGA,7.99,947048,https://media.gamestop.com/i/gamestop/10122564/Virtua-Tennis---Sega-Dreamcast?$pdp2x$,"Virtual Tennis serves up great action. Perfect your game, triumph in world tournaments, and propel yourself to the coveted #1 ranking in the world.",Retro Sega,Dreamcast
"NBA Live 19 Ultimate Team 2,200 NBA Points",Electronic Arts,19.99,178553,https://media.gamestop.com/i/gamestop/10167683/NBA-Live-19-Ultimate-Team-2200-NBA-Points?$pdp2x$,"Build, play and win with your ultimate Team of NBA stars and legends in LIVE ULTIMATE TEAM™.",Gift Cards,Virtual Currency
Skinit The Flintstones Bamm-Bamm Rubble Skin Bundle for Xbox One,Skinit,39.99,255109,https://media.gamestop.com/i/gamestop/11128740/Skinit-The-Flintstones-Bamm-Bamm-Rubble-Skin-Bundle-for-Xbox-One?$pdp2x$,"The The Flintstones Xbox One Console and Controller Bundle Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight Xbox One Console and Controller Bundle decal protection without the bulk. Every Skinit The Flintstones skin is officially licensed by Warner Bros for an authentic brand design. The The Flintstones Bamm-Bamm Rubble Microsoft Xbox One Console and Controller Bundle decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your Xbox One Console and Controller Bundle The The Flintstones Bamm-Bamm Rubble skin can be easily applied and removed from your Xbox One Console and Controller Bundle with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your Xbox One Console and Controller Bundle style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday Xbox One Console and Controller Bundle uses in mind so that each The Flintstones skin offers a premium feel with a thin functional protection. Shop all officially licensed The Flintstones Microsoft Xbox One Console and Controller Bundle skins made by Skinit and make it yours today!",Skins,Xbox One
Pug Life Word Art Womens Crewneck Sweatshirt,LA Pop Art,39.99,283163,https://media.gamestop.com/i/gamestop/11143582_purple/Pug-Life-Word-Art-Womens-Crewneck-Sweatshirt-purple?$pdp2x$,That face! OMG that face! How on earth can you not love a pug face and everything else that goes along with it. Our Pug word art uses the words Pug Life to create the detail of this adorable Pug face.,Clothing,Jackets & Outerwear
MX vs ATV All Out - Xbox One,THQ,27.99,163810,https://media.gamestop.com/i/gamestop/10153608/MX-vs-ATV-All-Out---Xbox-One?$pdp2x$,"All Terrain, All Vehicles, All You! MX vs ATV All Out is the complete off-road racing and lifestyle experience! Find your Rider Style at your private compound, Free Ride across massive environments, and compete in the best series events! All the bikes, tracks, gear, music, riders, personalities and even UTV's are packed in! Will you go All Out and become the winner that takes it all?",Video Games,Xbox One
ACDC Fly on the Wall Mens T-Shirt,Tee Shirt Central,21.99,307550,https://media.gamestop.com/i/gamestop/11157809/ACDC-Fly-on-the-Wall-Mens-T-Shirt?$pdp2x$,Represent your favorite musical artist with this retro graphic tee! Officially Licensed Art From Goodie Two Sleeves.,Men's,T-Shirts
Wow! PODS Pixar Toy Story Buzz Lightyear Figure,WOW! Pods,12.99,304225,https://media.gamestop.com/i/gamestop/11154930/Wow-PODS-Pixar-Toy-Story-Buzz-Lightyear-Figure?$pdp2x$,"WOW! PODS are for fans of character brands; girls, boys and adults alike! WOW! PODS are also the first collectible that’s brought to life with light! Each character is located in their own hex-shaped POD with built in UV lights. Simply swipe across the sensor to light your WOW! POD using your hand. See your chosen character, along with a hidden mystery feature or icons, instantly revealed with light! Connect them together in seconds to create any size and shape of your display, limited only by your imagination! A wall of WOW! PODS that pop as you walk past them or a shelf display that you add to over time? You can even write your name or initials to create a display that it is undoubtedly and uniquely yours! And now you scan the QR code on the card (included) and bring your purchased character into your digital collection! Collect and Connect into the wider range of WOW! PODS also available in Marvel, DC, Disney, Sonic, Jurassic World and many more. Developed for all fans of Character Brands!",Collectibles,Figures
Cars 2: The Video Game - Xbox 360,Disney,19.99,952813,https://media.gamestop.com/i/gamestop/10090284/Cars-2-The-Video-Game---Xbox-360?$pdp2x$,"Inspired by the upcoming Disney•Pixar animated film, Cars 2: The Video Game lets players jump into the Cars 2 universe with some of their favorite Cars personalities in exotic locations around the globe. Continuing the storyline from the upcoming film, players can choose to play as Mater and Lightning McQueen, as well as some brand new characters, as they train in the international training center - CHROME (Command Headquarters for Recon Operations and Motorized Espionage) to become world-class spies. They'll take on dangerous missions, compete to become the fastest racecar in the world, or use their spy skills in exciting, action-packed combat racing and battle arenas. Players can race against friends and family in either single or multiplayer modes with up to four players to unlock challenging new tracks, characters, events and thrilling spy missions. The DS version will also include exclusive global locations not seen in the film.",Video Games,Xbox 360
NHL Anaheim Ducks Controller Skin for Xbox One,Skinit,15.99,257889,https://media.gamestop.com/i/gamestop/11133406/NHL-Anaheim-Ducks-Controller-Skin-for-Xbox-One?$pdp2x$,"The NHL Anaheim Ducks Xbox One Controller Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight Xbox One Controller decal protection without the bulk. Every Skinit Anaheim Ducks skin is officially licensed by National Hockey League, Enterprises for an authentic brand design. The Anaheim Ducks Anaheim Ducks Frozen Microsoft Xbox One Controller decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your Xbox One Controller The Anaheim Ducks Anaheim Ducks Frozen skin can be easily applied and removed from your Xbox One Controller with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your Xbox One Controller style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday Xbox One Controller uses in mind so that each Anaheim Ducks skin offers a premium feel with a thin functional protection. Shop all officially licensed NHL Anaheim Ducks Microsoft Xbox One Controller skins made by Skinit and make it yours today!",Skins,Xbox One
The Periodic Table of Elements Atom Word Art  Drawstring Backpack,LA Pop Art,13.99,278232,https://media.gamestop.com/i/gamestop/11142982/The-Periodic-Table-of-Elements-Atom-Word-Art--Drawstring-Backpack?$pdp2x$,"  Page Title   Created out of all of the elements on the periodic table Created out of all of the elements on the periodic table
One of the hottest trends now a days is to be a nerd or a geek.  After being made fun of for years, geeks are getting the last laugh, as most everything we use in today's modern world was probably created by the nerdy kid who sat behind you in high school.  Today's ""techies"" have also defined many of todays hottest clothing trends with geek shirts become cool to wear.
An atom can be defined as the smallest part of an element that can enter into combination with other elements. Each element has its own atomic structure associated with it.  So we thought it would be cool to create an atom out of every single element in the periodic chart.    ",Bags,Backpacks
Highland Mint Green Bay Packers Team Schedule Silver Coin Card,Highland Mint,29.99,304187,https://media.gamestop.com/i/gamestop/11154271/Highland-Mint-Green-Bay-Packers-Team-Schedule-Silver-Coin-Card?$pdp2x$,"This special limited edition Team Schedule Coin Card commemorates your favorite NFL team's 2021 Season. Delivered in a 4"" x 6"" acrylic display is a 39mm Silver plated team commemorative coin. The reverse (back) of the coin is struck with the official NFL logo. The display includes a commemorative card featuring the 2021 Team Schedule of your favorite NFL team and is delivered with a display stand. This unique collectible is a limited edition of only 5,000 and it is officially licensed by the NFL. Proudly made in the USA by the Highland Mint.",Toys & Games,Trading Cards
Kotobukiya ArtFX Premire She-Hulk Limited Edition 8.2-In Statue,Kotobukiya,189.99,310150,https://media.gamestop.com/i/gamestop/11170429/Kotobukiya-ArtFX-Premire-She-Hulk-Limited-Edition-8.2-In-Statue?$pdp2x$,The fifth character from Marvel’s Avengers to join the ARTFX Premier line is She-Hulk!,Collectibles,Statues
